BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
seattle01,Noelcomm,26935,2001:504:16::412:0:6937,IPv6,,False,False,233
seattle01,Compudyne,47096,206.81.81.127,IPv4,,False,False,234
seattle01,Compudyne,47096,2001:504:16::b7f8,IPv6,,False,False,235
seattle01,Paul Bunyan Communications,14371,206.81.81.139,IPv4,,False,False,236
seattle01,Paul Bunyan Communications,14371,2001:504:16::3823,IPv6,,False,False,237
seattle01,NetActuate,36236,206.81.81.64,IPv4,,False,False,238
seattle01,NetActuate,36236,2001:504:16::8d8c,IPv6,,False,False,239
seattle01,Tierpoint,11274,206.81.80.59,IPv4,,False,False,240
seattle01,Tierpoint,11274,2001:504:16::2c0a,IPv6,,False,False,241
seattle01,Tierpoint,30340,206.81.80.20,IPv4,,False,False,242
seattle01,Tierpoint,30340,2001:504:16::7684,IPv6,,False,False,243
seattle01,Cloudflare,13335,206.81.81.10,IPv4,,False,False,254
seattle01,Cloudflare,13335,2001:504:16::3417,IPv6,,False,False,255
seattle01,TDSNET,4181,206.81.80.178,IPv4,,False,False,256
seattle01,TDSNET,4181,2001:504:16::1055,IPv6,,False,False,257
